Description,Date,Amount,Area,Type
Nómina mensual trabajo,29/10/2025,"512,05",Salary,Income
Compra supermercado semanal,26/10/2025,"19,00",Food,Expenses
Menú del día trabajo,23/10/2025,"18,50",Food,Expenses
Frutería mercado local,22/10/2025,"6,75",Food,Expenses
Servicio profesional puntual,18/10/2025,"6,00",Invoice,Expenses
Seguro hogar anual,17/10/2025,"0,85",Invoice,Expenses
Pedido comida online,12/10/2025,"33,86",Food,Expenses
Cuota plataforma web,11/10/2025,"16,96",Invoice,Expenses
Evento deporte espectáculo,6/10/2025,"22,00",Leisure,Expenses
Pago servicio online,4/10/2025,"10,00",Invoice,Expenses
Cena romántica restaurante,4/10/2025,"8,81",Food,Expenses
Panadería desayunos semana,4/10/2025,"2,00",Food,Expenses
Compra online facturada,2/10/2025,"5,00",Invoice,Expenses
Cobro laboral mensual,1/10/2025,"881,44",Salary,Income
Inversión pequeña bolsa,1/10/2025,"20,00",Investment,Expenses
Ingreso freelance extra,28/09/2025,"50,00",Deposit,Income
Compra Lidl alimentación,23/09/2025,"13,88",Food,Expenses
Spotify música mensual,21/09/2025,"4,00",Leisure,Expenses
Almuerzo entre semana,18/09/2025,"3,00",Food,Expenses
Devolución pago exceso,13/09/2025,"50,00",Deposit,Income
Alimentación semana corriente,13/09/2025,"27,50",Food,Expenses
Compra grande mensual,13/09/2025,"8,00",Food,Expenses
Compra Lidl alimentación,11/09/2025,"3,00",Food,Expenses
Tapas bar con amigos,11/09/2025,"2,60",Food,Expenses
Amazon Prime renovación,06/09/2025,"14,95",Invoice,Expenses
Alimentación semana corriente,06/09/2025,"13,00",Food,Expenses
Compra diaria alimentación,04/09/2025,"23,10",Food,Expenses
Tómbola lotería ocio,04/09/2025,"12,50",Leisure,Expenses
Almuerzo entre semana,04/09/2025,"3,00",Food,Expenses
Factura teléfono móvil,03/09/2025,"15,10",Invoice,Expenses
Cuota comunidad propietarios,03/09/2025,"10,00",Invoice,Expenses
Aportación mínima fondo,01/09/2025,"40,00",Investment,Expenses
Café con compañeros,29/08/2025,"3,94",Leisure,Expenses
Ingreso trabajo esporádico,22/08/2025,"5,00",Deposit,Income
Excursión vacaciones verano,19/08/2025,"679,32",Vacations,Expenses
Ingreso puntual extra,18/08/2025,"100,00",Deposit,Income
Cena restaurante semana,10/08/2025,"56,60",Leisure,Expenses
Nómina mensual completa,01/08/2025,"1841,97",Salary,Income
Micro inversión fondo,01/08/2025,"20,00",Investment,Expenses
Servicio profesional puntual,01/08/2025,"18,23",Invoice,Expenses
Cena romántica restaurante,29/07/2025,"39,12",Food,Expenses
Streaming plataforma digital,29/07/2025,"7,00",Leisure,Expenses
Carnicería compra semana,16/07/2025,"3,30",Food,Expenses
Compra diaria alimentación,15/07/2025,"19,50",Food,Expenses
Amazon Prime renovación,14/07/2025,"8,08",Invoice,Expenses
Paseo turístico ciudad,10/07/2025,"5,00",Leisure,Expenses
Ingreso sueldo mes,03/07/2025,"613,99",Salary,Income
Salida noche amigos,02/07/2025,"19,00",Leisure,Expenses
Aportación mínima fondo,01/07/2025,"40,00",Investment,Expenses
Espectáculo nocturno viaje,29/06/2025,"395,00",Vacations,Expenses
Seguro coche mensual,26/06/2025,"22,00",Invoice,Expenses
Comida rápida mediodía,26/06/2025,"5,75",Food,Expenses
Netflix suscripción mensual,21/06/2025,"59,77",Leisure,Expenses
Menú del día trabajo,21/06/2025,"44,60",Food,Expenses
Cuota gimnasio mensual,21/06/2025,"23,00",Invoice,Expenses
Factura teléfono móvil,21/06/2025,"7,50",Invoice,Expenses
Pago suscripción app,20/06/2025,"11,50",Invoice,Expenses
Amazon Prime renovación,20/06/2025,"2,00",Invoice,Expenses
Pedido comida online,14/06/2025,"13,25",Food,Expenses
Tour ciudad vacaciones,13/06/2025,"395,00",Vacations,Expenses
Ingreso pequeño trabajo,11/06/2025,"25,00",Salary,Income
Factura internet fibra,09/06/2025,"4,74",Invoice,Expenses
Pago trabajo mínimo,08/06/2025,"75,00",Salary,Income
Actividad deportiva semana,07/06/2025,"8,50",Leisure,Expenses
Spotify música mensual,07/06/2025,"5,88",Leisure,Expenses
Alimentación semana corriente,05/06/2025,"12,90",Food,Expenses
Seguro hogar anual,05/06/2025,"8,00",Invoice,Expenses
Inversión pequeña bolsa,01/06/2025,"20,00",Investment,Expenses
Factura teléfono móvil,01/06/2025,"7,20",Invoice,Expenses
Videojuego descarga digital,31/05/2025,"3,10",Leisure,Expenses
Cobro trabajo esporádico,30/05/2025,"30,00",Salary,Income
Paseo turístico ciudad,30/05/2025,"18,00",Leisure,Expenses
Compra supermercado semanal,29/05/2025,"12,00",Food,Expenses
Tarifa plan datos móvil,28/05/2025,"9,50",Invoice,Expenses
Concierto música live,24/05/2025,"15,00",Leisure,Expenses
Ingreso pequeño trabajo,18/05/2025,"25,00",Salary,Income
Almuerzo entre semana,16/05/2025,"13,00",Food,Expenses
Servicio profesional puntual,13/05/2025,"1,09",Invoice,Expenses
Seguro hogar anual,04/05/2025,"5,50",Invoice,Expenses
Compra Lidl alimentación,02/05/2025,"21,95",Food,Expenses
Recibo agua mensual,02/05/2025,"8,00",Invoice,Expenses
Frutería mercado local,02/05/2025,"4,29",Food,Expenses
Café con compañeros,02/05/2025,"3,70",Leisure,Expenses
Mercadona semana despensa,02/05/2025,"2,75",Food,Expenses
Aportación mínima fondo,01/05/2025,"40,00",Investment,Expenses
Tasa municipal anual,26/04/2025,"72,73",Invoice,Expenses
Seguro coche mensual,22/04/2025,"7,50",Invoice,Expenses
Cobro trabajo esporádico,22/04/2025,"7,00",Salary,Income
Pago servicio online,19/04/2025,"10,00",Invoice,Expenses
Suscripción anual servicio,19/04/2025,"5,00",Invoice,Expenses
Juego online suscripción,16/04/2025,"2,56",Leisure,Expenses
Alimentación semana corriente,12/04/2025,"40,00",Food,Expenses
Ocio fin de semana,07/04/2025,"3,50",Leisure,Expenses
Pago trabajo mínimo,06/04/2025,"25,00",Salary,Income
Cuota comunidad propietarios,03/04/2025,"1,00",Invoice,Expenses
Transferencia familiar recibida,01/04/2025,"50,00",Deposit,Income
Micro inversión fondo,01/04/2025,"20,00",Investment,Expenses
Recibo domiciliado mensual,30/03/2025,"11,70",Invoice,Expenses
Cuota plataforma web,29/03/2025,"0,42",Invoice,Expenses
Tarde de compras,21/03/2025,"26,10",Leisure,Expenses
Tómbola lotería ocio,20/03/2025,"17,50",Leisure,Expenses
Cobro trabajo esporádico,08/03/2025,"25,00",Salary,Income
Videojuego descarga digital,07/03/2025,"21,17",Leisure,Expenses
Reembolso compra anterior,02/03/2025,"50,00",Deposit,Income
Aportación mínima fondo,01/03/2025,"40,00",Investment,Expenses
Ingreso freelance extra,28/02/2025,"4,15",Deposit,Income
Transferencia recibida amigo,25/02/2025,"16,61",Deposit,Income
Ingreso pequeño trabajo,22/02/2025,"25,00",Salary,Income
Cena entre semana,21/02/2025,"6,75",Food,Expenses
Pedido comida online,14/02/2025,"64,60",Food,Expenses
Pago suscripción app,14/02/2025,"6,10",Invoice,Expenses
Salida noche amigos,13/02/2025,"7,50",Leisure,Expenses
Salida bar copas,13/02/2025,"4,10",Leisure,Expenses
Factura internet fibra,11/02/2025,"10,00",Invoice,Expenses
Factura luz mes,05/02/2025,"3,37",Invoice,Expenses
Ingreso pequeño trabajo,02/02/2025,"25,00",Salary,Income
Café con compañeros,02/02/2025,"4,00",Leisure,Expenses
Inversión pequeña bolsa,01/02/2025,"20,00",Investment,Expenses
Seguro coche mensual,01/02/2025,"3,50",Invoice,Expenses
Compra supermercado semanal,27/01/2025,"19,24",Food,Expenses
Videojuego descarga digital,26/01/2025,"4,00",Leisure,Expenses
Factura teléfono móvil,21/01/2025,"0,55",Invoice,Expenses
Paseo turístico ciudad,17/01/2025,"12,00",Leisure,Expenses
Frutería mercado local,17/01/2025,"11,43",Food,Expenses
Cuota gimnasio mensual,15/01/2025,"8,50",Invoice,Expenses
Concierto música live,11/01/2025,"33,00",Leisure,Expenses
Pago trabajo mínimo,11/01/2025,"27,00",Salary,Income
Ingreso puntual extra,02/01/2025,"50,00",Deposit,Income
Micro inversión fondo,01/01/2025,"20,00",Investment,Expenses
Juego online suscripción,31/12/2024,"10,00",Leisure,Expenses
Compra Lidl alimentación,31/12/2024,"3,70",Food,Expenses
Noche fútbol bar,30/12/2024,"21,74",Leisure,Expenses
Videojuego descarga digital,23/12/2024,"8,34",Leisure,Expenses
Cena entre semana,23/12/2024,"3,60",Food,Expenses
Mercadona semana despensa,22/12/2024,"26,10",Food,Expenses
Suscripción anual servicio,21/12/2024,"78,92",Invoice,Expenses
Cobro trabajo esporádico,15/12/2024,"25,00",Salary,Income
Servicio profesional puntual,15/12/2024,"1,69",Invoice,Expenses
Panadería desayunos semana,13/12/2024,"11,95",Food,Expenses
Cobro deuda pendiente,10/12/2024,"400,00",Deposit,Income
Ingreso freelance extra,10/12/2024,"50,00",Deposit,Income
Tarde cine ciudad,8/12/2024,"9,40",Leisure,Expenses
Spotify música mensual,5/12/2024,"8,00",Leisure,Expenses
Compra supermercado semanal,3/12/2024,"6,75",Food,Expenses
Noche fútbol bar,2/12/2024,"3,10",Leisure,Expenses
Aportación mínima fondo,1/12/2024,"20,00",Investment,Expenses
Evento deporte espectáculo,1/12/2024,"12,00",Leisure,Expenses
Seguro coche mensual,30/11/2024,"1,10",Invoice,Expenses
Compra Lidl alimentación,22/11/2024,"5,20",Food,Expenses
Cena entre semana,11/11/2024,"6,75",Food,Expenses
Frutería mercado local,9/11/2024,"18,10",Food,Expenses
Alimentación semana corriente,8/11/2024,"13,90",Food,Expenses
Factura gas calefacción,5/11/2024,"4,90",Invoice,Expenses
Ingreso extra varios,2/11/2024,"400,00",Deposit,Income
Inversión pequeña bolsa,1/11/2024,"20,00",Investment,Expenses
Pedido comida online,31/10/2024,"19,05",Food,Expenses
Pago trabajo mínimo,27/10/2024,"25,00",Salary,Income
Concierto música live,25/10/2024,"13,00",Leisure,Expenses
Ingreso pequeño trabajo,19/10/2024,"25,00",Salary,Income
Mercadona semana despensa,19/10/2024,"19,35",Food,Expenses
Panadería desayunos semana,19/10/2024,"5,00",Food,Expenses
Factura teléfono móvil,13/10/2024,"16,00",Invoice,Expenses
Tarde cine ciudad,11/10/2024,"1,00",Leisure,Expenses
Comida rápida mediodía,8/10/2024,"16,80",Food,Expenses
Salida noche amigos,8/10/2024,"14,40",Leisure,Expenses
Suscripción servicio digital,6/10/2024,"8,00",Invoice,Expenses
Ingreso trabajo esporádico,1/10/2024,"50,00",Deposit,Income
Micro inversión fondo,1/10/2024,"20,00",Investment,Expenses
Ingreso pequeño trabajo,28/09/2024,"30,00",Salary,Income
Noche fútbol bar,26/09/2024,"18,00",Leisure,Expenses
Tasa municipal anual,23/09/2024,"6,00",Invoice,Expenses
Cobro trabajo esporádico,16/09/2024,"25,00",Salary,Income
Recibo domiciliado mensual,13/09/2024,"12,00",Invoice,Expenses
Tómbola lotería ocio,07/09/2024,"203,58",Leisure,Expenses
Recibo agua mensual,07/09/2024,"8,00",Invoice,Expenses
Pago servicio online,07/09/2024,"2,00",Invoice,Expenses
Alquiler bici turismo,05/09/2024,"395,80",Vacations,Expenses
Actividad turística viaje,05/09/2024,"19,50",Vacations,Expenses
Cobro deuda pendiente,02/09/2024,"150,00",Deposit,Income
Inversión pequeña bolsa,02/09/2024,"20,00",Investment,Expenses
Menú del día trabajo,29/08/2024,"13,90",Food,Expenses
Factura gas calefacción,27/08/2024,"9,27",Invoice,Expenses
Cuota gimnasio mensual,26/08/2024,"4,49",Invoice,Expenses
Compra online facturada,23/08/2024,"9,95",Invoice,Expenses
Cobro laboral mensual,15/08/2024,"845,69",Salary,Income
Aportación mínima fondo,14/08/2024,"40,00",Investment,Expenses
Factura teléfono móvil,14/08/2024,"3,95",Invoice,Expenses
Actividad cultural ciudad,12/08/2024,"46,00",Leisure,Expenses
Seguro hogar anual,11/08/2024,"1,05",Invoice,Expenses
Cuota plataforma web,07/08/2024,"4,00",Invoice,Expenses
Tarde cine ciudad,02/08/2024,"8,50",Leisure,Expenses
Compra grande mensual,01/08/2024,"20,00",Food,Expenses
Cobro nómina empresa,31/07/2024,"1842,17",Salary,Income
Nómina mensual trabajo,31/07/2024,"837,84",Salary,Income
Cena romántica restaurante,30/07/2024,"16,46",Food,Expenses
Tarifa plan datos móvil,30/07/2024,"5,00",Invoice,Expenses
Compra supermercado semanal,19/07/2024,"5,50",Food,Expenses
Mercadona semana despensa,16/07/2024,"15,00",Food,Expenses
Alimentación semana corriente,13/07/2024,"41,50",Food,Expenses
Tasa municipal anual,05/07/2024,"795,00",Invoice,Expenses
Aportación mínima fondo,01/07/2024,"20,00",Investment,Expenses
Compra grande mensual,28/06/2024,"5,50",Food,Expenses
Suscripción anual servicio,25/06/2024,"7,50",Invoice,Expenses
Compra supermercado semanal,22/06/2024,"26,22",Food,Expenses
Paseo turístico ciudad,22/06/2024,"9,50",Leisure,Expenses
Suscripción servicio digital,18/06/2024,"8,20",Invoice,Expenses
Cuota plataforma web,14/06/2024,"40,00",Invoice,Expenses
Seguro coche mensual,14/06/2024,"11,00",Invoice,Expenses
Cobro trabajo esporádico,07/06/2024,"25,00",Salary,Income
Pedido comida online,06/06/2024,"14,90",Food,Expenses
Comida rápida mediodía,06/06/2024,"8,00",Food,Expenses
Compra Lidl alimentación,06/06/2024,"6,00",Food,Expenses
Ingreso freelance extra,05/06/2024,"50,00",Deposit,Income
Mercadona semana despensa,02/06/2024,"12,90",Food,Expenses
Micro inversión fondo,01/06/2024,"20,00",Investment,Expenses
Recibo agua mensual,31/05/2024,"2,85",Invoice,Expenses
Alimentación semana corriente,26/05/2024,"16,00",Food,Expenses
Pedido comida online,25/05/2024,"11,00",Food,Expenses
Carnicería compra semana,24/05/2024,"6,75",Food,Expenses
Actividad deportiva semana,17/05/2024,"42,00",Leisure,Expenses
Tarifa plan datos móvil,17/05/2024,"8,00",Invoice,Expenses
Compra ocio personal,11/05/2024,"7,42",Leisure,Expenses
Recibo domiciliado mensual,11/05/2024,"3,29",Invoice,Expenses
Ingreso puntual extra,03/05/2024,"50,00",Deposit,Income
Inversión pequeña bolsa,01/05/2024,"40,00",Investment,Expenses
Factura internet fibra,27/04/2024,"30,00",Invoice,Expenses
Salida bar copas,21/04/2024,"6,40",Leisure,Expenses
Pago trabajo mínimo,20/04/2024,"30,00",Salary,Income
Almuerzo entre semana,17/04/2024,"11,55",Food,Expenses
Cuota gimnasio mensual,17/04/2024,"8,00",Invoice,Expenses
Ingreso pequeño trabajo,14/04/2024,"21,80",Salary,Income
Compra diaria alimentación,10/04/2024,"2,50",Food,Expenses
Suscripción servicio digital,08/04/2024,"14,99",Invoice,Expenses
Transferencia recibida amigo,05/04/2024,"50,00",Deposit,Income
Inversión pequeña bolsa,01/04/2024,"20,00",Investment,Expenses
Actividad aventura vacaciones,29/03/2024,"166,45",Vacations,Expenses
Factura teléfono móvil,29/03/2024,"5,50",Invoice,Expenses
Café con compañeros,24/03/2024,"24,00",Leisure,Expenses
Recibo domiciliado mensual,21/03/2024,"39,69",Invoice,Expenses
Cuota comunidad propietarios,21/03/2024,"1,00",Invoice,Expenses
Seguro hogar anual,18/03/2024,"8,00",Invoice,Expenses
Pedido comida online,16/03/2024,"20,47",Food,Expenses
Carnicería compra semana,11/03/2024,"19,85",Food,Expenses
Ingreso pequeño trabajo,09/03/2024,"50,00",Salary,Income
Cobro trabajo esporádico,03/03/2024,"25,00",Salary,Income
Reembolso compra anterior,01/03/2024,"50,00",Deposit,Income
Aportación mínima fondo,01/03/2024,"20,00",Investment,Expenses
Almuerzo entre semana,24/02/2024,"18,10",Food,Expenses
Cobro deuda pendiente,18/02/2024,"70,00",Deposit,Income
Alimentación semana corriente,17/02/2024,"38,20",Food,Expenses
Tapas bar con amigos,14/02/2024,"21,00",Food,Expenses
Cuota gimnasio mensual,14/02/2024,"20,00",Invoice,Expenses
Tasa municipal anual,14/02/2024,"8,32",Invoice,Expenses
Factura luz mes,14/02/2024,"8,00",Invoice,Expenses
Cena romántica restaurante,12/02/2024,"2,60",Food,Expenses
Carnicería compra semana,10/02/2024,"19,40",Food,Expenses
Seguro hogar anual,10/02/2024,"1,80",Invoice,Expenses
Devolución pago exceso,05/02/2024,"50,00",Deposit,Income
Mercadona semana despensa,05/02/2024,"10,10",Food,Expenses
Almuerzo entre semana,05/02/2024,"4,65",Food,Expenses
Factura internet fibra,04/02/2024,"6,00",Invoice,Expenses
Pedido comida online,04/02/2024,"5,12",Food,Expenses
Cena entre semana,03/02/2024,"14,60",Food,Expenses
Micro inversión fondo,01/02/2024,"20,00",Investment,Expenses
Cuota gimnasio mensual,23/01/2024,"7,95",Invoice,Expenses
Pago suscripción app,22/01/2024,"14,50",Invoice,Expenses
Pago servicio online,22/01/2024,"7,00",Invoice,Expenses
Tarifa plan datos móvil,19/01/2024,"9,00",Invoice,Expenses
Ingreso extra varios,13/01/2024,"50,00",Deposit,Income
Factura internet fibra,12/01/2024,"6,20",Invoice,Expenses
Transferencia familiar recibida,08/01/2024,"100,00",Deposit,Income
Tasa municipal anual,03/01/2024,"46,80",Invoice,Expenses
Tarde de compras,02/01/2024,"3,00",Leisure,Expenses
Micro inversión fondo,01/01/2024,"20,00",Investment,Expenses
Transferencia recibida amigo,25/12/2023,"50,00",Deposit,Income
Compra online facturada,24/12/2023,"48,84",Invoice,Expenses
Compra diaria alimentación,24/12/2023,"12,95",Food,Expenses
Recibo agua mensual,24/12/2023,"12,50",Invoice,Expenses
Pago trabajo mínimo,24/12/2023,"10,00",Salary,Income
Carnicería compra semana,23/12/2023,"3,40",Food,Expenses
Cena restaurante semana,21/12/2023,"25,00",Leisure,Expenses
Cobro trabajo esporádico,16/12/2023,"25,00",Salary,Income
Ingreso freelance extra,15/12/2023,"50,00",Deposit,Income
Pedido comida online,15/12/2023,"17,30",Food,Expenses
Tapas bar con amigos,15/12/2023,"6,20",Food,Expenses
Panadería desayunos semana,14/12/2023,"2,49",Food,Expenses
Compra grande mensual,7/12/2023,"4,11",Food,Expenses
Juego online suscripción,3/12/2023,"25,00",Leisure,Expenses
Factura luz mes,3/12/2023,"9,15",Invoice,Expenses
Suscripción anual servicio,2/12/2023,"5,00",Invoice,Expenses
Inversión pequeña bolsa,1/12/2023,"20,00",Investment,Expenses
Spotify música mensual,28/11/2023,"18,00",Leisure,Expenses
Ingreso pequeño trabajo,26/11/2023,"25,00",Salary,Income
Compra Lidl alimentación,26/11/2023,"1,60",Food,Expenses
Cuota plataforma web,25/11/2023,"11,01",Invoice,Expenses
Compra diaria alimentación,25/11/2023,"7,00",Food,Expenses
Pedido comida online,20/11/2023,"6,30",Food,Expenses
Tarde cine ciudad,17/11/2023,"8,40",Leisure,Expenses
Tarde de compras,16/11/2023,"11,00",Leisure,Expenses
Servicio profesional puntual,14/11/2023,"6,40",Invoice,Expenses
Ingreso pequeño trabajo,11/11/2023,"40,00",Salary,Income
Carnicería compra semana,11/11/2023,"20,00",Food,Expenses
Recibo domiciliado mensual,2/11/2023,"2,10",Invoice,Expenses
Aportación mínima fondo,1/11/2023,"20,00",Investment,Expenses
Comida rápida mediodía,29/10/2023,"6,00",Food,Expenses
Seguro coche mensual,28/10/2023,"3,00",Invoice,Expenses
Frutería mercado local,27/10/2023,"5,02",Food,Expenses
Pago trabajo mínimo,21/10/2023,"25,00",Salary,Income
Ingreso puntual extra,14/10/2023,"40,00",Deposit,Income
Ocio fin de semana,12/10/2023,"21,60",Leisure,Expenses
Compra ocio personal,12/10/2023,"14,00",Leisure,Expenses
Pedido comida online,12/10/2023,"14,00",Food,Expenses
Cena restaurante semana,12/10/2023,"6,95",Leisure,Expenses
Amazon Prime renovación,12/10/2023,"3,40",Invoice,Expenses
Factura luz mes,9/10/2023,"70,00",Invoice,Expenses
Actividad cultural ciudad,2/10/2023,"7,00",Leisure,Expenses
Cobro trabajo esporádico,1/10/2023,"25,00",Salary,Income
Inversión pequeña bolsa,1/10/2023,"20,00",Investment,Expenses
Netflix suscripción mensual,1/10/2023,"4,00",Leisure,Expenses
Tarde de compras,1/10/2023,"4,00",Leisure,Expenses
Almuerzo entre semana,29/09/2023,"20,00",Food,Expenses
Cobro trabajo esporádico,23/09/2023,"25,00",Salary,Income
Ingreso extra varios,20/09/2023,"50,00",Deposit,Income
Noche fútbol bar,17/09/2023,"2,50",Leisure,Expenses
Tarde cine ciudad,16/09/2023,"9,80",Leisure,Expenses
Actividad deportiva semana,08/09/2023,"2,70",Leisure,Expenses
Compra Lidl alimentación,05/09/2023,"7,00",Food,Expenses
Actividad cultural ciudad,04/09/2023,"3,50",Leisure,Expenses
Micro inversión fondo,01/09/2023,"20,00",Investment,Expenses
Videojuego descarga digital,31/08/2023,"38,43",Leisure,Expenses
Compra diaria alimentación,31/08/2023,"26,15",Food,Expenses
Ingreso trabajo esporádico,31/08/2023,"25,00",Deposit,Income
Menú del día trabajo,29/08/2023,"20,00",Food,Expenses
Salida bar copas,28/08/2023,"13,80",Leisure,Expenses
Devolución dinero prestado,24/08/2023,"10,00",Deposit,Income
Nómina mensual trabajo,18/08/2023,"759,41",Salary,Income
Aportación mínima fondo,17/08/2023,"20,00",Investment,Expenses
Recibo domiciliado mensual,16/08/2023,"6,40",Invoice,Expenses
Carnicería compra semana,14/08/2023,"13,80",Food,Expenses
Cobro laboral mensual,01/08/2023,"792,10",Salary,Income
Seguro hogar anual,01/08/2023,"8,00",Invoice,Expenses
Café con compañeros,30/07/2023,"10,50",Leisure,Expenses
Tapas bar con amigos,18/07/2023,"9,50",Food,Expenses
Cena entre semana,17/07/2023,"15,00",Food,Expenses
Tapas bar ciudad viaje,14/07/2023,"7,80",Vacations,Expenses
Reserva actividad vacaciones,14/07/2023,"2,40",Vacations,Expenses
Bus turístico facturado,13/07/2023,"10,00",Vacations,Expenses
Bocadillo playa vacaciones,13/07/2023,"6,00",Vacations,Expenses
Desayuno hotel turístico,13/07/2023,"5,20",Vacations,Expenses
Excursión vacaciones verano,13/07/2023,"2,00",Vacations,Expenses
Vuelo reserva vacaciones,13/07/2023,"1,50",Vacations,Expenses
Alquiler bici turismo,12/07/2023,"1,20",Vacations,Expenses
Micro inversión fondo,01/07/2023,"20,00",Investment,Expenses
Cuota gimnasio mensual,29/06/2023,"6,40",Invoice,Expenses
Transferencia recibida amigo,28/06/2023,"20,00",Deposit,Income
Mercadona semana despensa,28/06/2023,"16,75",Food,Expenses
Amazon Prime renovación,28/06/2023,"2,25",Invoice,Expenses
Tómbola lotería ocio,26/06/2023,"3,50",Leisure,Expenses
Pago suscripción app,23/06/2023,"15,00",Invoice,Expenses
Compra online facturada,18/06/2023,"47,25",Invoice,Expenses
Cuota comunidad propietarios,18/06/2023,"2,40",Invoice,Expenses
Seguro coche mensual,17/06/2023,"16,35",Invoice,Expenses
Tarifa plan datos móvil,17/06/2023,"0,65",Invoice,Expenses
Transferencia familiar recibida,16/06/2023,"100,00",Deposit,Income
Ingreso pequeño trabajo,16/06/2023,"80,00",Salary,Income
